Date,categoryname,units_sold
6-16-1981,Exam Pads & Pencil Box,97
6-17-1981,"Healthy, Baked Snacks",50
6-18-1981,Breakfast & Snack Mixes,84
6-19-1981,Lunch Boxes,18
6-20-1981,Sports & Energy Drinks,21
6-21-1981,Face Care,42
6-22-1981,Hair Oil & Serum,37
6-23-1981,Diapers,15
6-24-1981,Face Care,30
6-25-1981,Aromatherapy,11
6-26-1981,Bathing Bars & Soaps,31
6-27-1981,Bathing Bars & Soaps,26
6-28-1981,Everyday Medicine,56
6-29-1981,CFL & Led Bulbs,42
6-30-1981,Indian & Exotic Herbs,38
07-01-1981,Sugar & Jaggery,12
07-02-1981,Blended Masalas,8
07-03-1981,"Kitchen, Glass & Drain",18
07-04-1981,Face Care,13
07-05-1981,Breakfast & Snack Mixes,2
07-06-1981,Lip Care,15
07-07-1981,Heat & Eat Ready Meals,42
07-08-1981,Ayurveda,29
07-09-1981,Pressure Cookers,11
07-10-1981,Pet Meals & Treats,19
07-11-1981,Aromatherapy,11
07-12-1981,Body Care,20
7-13-1981,Gourmet Bread,4
7-14-1981,"Healthy, Baked Snacks",14
7-15-1981,"Mops, Wipers",2
7-16-1981,Organic Vegetables,103
7-17-1981,"Notebooks, Files, Folders",90
7-18-1981,Imported Noodles,29
7-19-1981,Flours & Pre-Mixes,44
7-20-1981,Chikki & Gajjak,53
7-21-1981,Attar,85
7-22-1981,Body Sprays & Mists,63
7-23-1981,Organic Masalas & Spices,33
7-24-1981,Aromatherapy,145
7-25-1981,Home Baking,9
7-26-1981,Toothpaste,67
7-27-1981,Face Care,53
7-28-1981,"Strainer, Ladle, Spatula",32
7-29-1981,Rusks,25
7-30-1981,Ayurveda,37
7-31-1981,Hand Wash & Sanitizers,69
08-01-1981,Hair Color,6
08-02-1981,Balsamic & Cider Vinegar,44
08-03-1981,Organic Vegetables,41
08-04-1981,"Flavoured, Soya Milk",28
08-05-1981,"Marie, Health, Digestive",29
08-06-1981,Blended Masalas,44
08-07-1981,Chocolates,66
08-08-1981,Baby Wipes,29
08-09-1981,Exotic Fruits,38
08-10-1981,Dustbins,104
08-11-1981,"Cut Fruit, Tender Coconut",34
08-12-1981,Powdered Spices,99
8-13-1981,Face Care,76
8-14-1981,Organic Vegetables,15
8-15-1981,Bathing Bars & Soaps,46
8-16-1981,Pressure Cookers,51
8-17-1981,Steel Storage Containers,65
8-18-1981,Supplements & Proteins,19
8-19-1981,Talcum Powder,28
8-20-1981,Chocolates,78
8-21-1981,Cut & Peeled Veggies,34
8-22-1981,"Herbs, Seasonings & Rubs",64
8-23-1981,Lunch Boxes,46
8-24-1981,Namkeen & Savoury Snacks,52
8-25-1981,Roasted Seeds & Nuts,43
8-26-1981,CFL & Led Bulbs,36
8-27-1981,"Paneer, Tofu & Cream",96
8-28-1981,Body Care,14
8-29-1981,Frozen Fish & Seafood,18
8-30-1981,Nachos & Chips,98
8-31-1981,Exotic Sugar & Salt,67
09-01-1981,Glassware,21
09-02-1981,Salted Biscuits,31
09-03-1981,Ayurveda,47
09-04-1981,Lip Care,48
09-05-1981,Hand Wash & Sanitizers,21
09-06-1981,Tawa & Sauce Pan,28
09-07-1981,Breakfast & Snack Mixes,50
09-08-1981,Attar,109
09-09-1981,Face Care,46
09-10-1981,Vacuum Flask,57
09-11-1981,Face Care,38
09-12-1981,Cotton & Ear Buds,37
9-13-1981,"Marshmallow, Candy, Jelly",33
9-14-1981,Ayurveda,62
9-15-1981,Kitchen Tools & Other Accessories,137
9-16-1981,Organic Masalas & Spices,20
9-17-1981,Bathing Bars & Soaps,35
9-18-1981,Chicken Sausages,53
9-19-1981,Body Care,22
9-20-1981,Cotton & Ear Buds,30
9-21-1981,Health Drinks,17
9-22-1981,Frozen Vegetables,11
9-23-1981,Blended Masalas,27
9-24-1981,Whole Spices,25
9-25-1981,Bathing Bars & Soaps,7
9-26-1981,Water & Fridge Bottles,31
9-27-1981,Eau De Parfum,24
9-28-1981,Cotton & Ear Buds,43
9-29-1981,Breakfast & Snack Mixes,9
9-30-1981,"Curry Paste, Coconut Milk",118
10-01-1981,Glassware,96
10-02-1981,Imported Cleaners,23
10-03-1981,Eau De Toilette,36
10-04-1981,Ayurveda,49
10-05-1981,"Paper Napkin, Tissue Box",125
10-06-1981,"Cut Fruit, Tender Coconut",103
10-07-1981,Exotic Sugar & Salt,107
10-08-1981,Aromatherapy,169
10-09-1981,"Toor, Channa & Moong Dal",31
10-10-1981,Sippers & Bottles,16
10-11-1981,Men's Deodorants,48
10-12-1981,Face Care,73
10-13-1981,Bathing Bars & Soaps,61
10-14-1981,Instant Noodles,10
10-15-1981,Cereals & Millets,36
10-16-1981,Mustard & Cheese Sauces,81
10-17-1981,Chocolates,20
10-18-1981,Gourmet Juices & Drinks,98
10-19-1981,Face Care,101
10-20-1981,Face & Body,22
10-21-1981,Pork & Ham,35
10-22-1981,Mosquito Repellent,47
10-23-1981,Steel Storage Containers,143
10-24-1981,Breakfast & Snack Mixes,44
10-25-1981,Gourmet Juices & Drinks,48
10-26-1981,Face Care,46
10-27-1981,Flavoured & Other Oils,151
10-28-1981,Roasted Seeds & Nuts,73
10-29-1981,Basmati Rice,35
10-30-1981,Cream Biscuits & Wafers,30
10-31-1981,Shampoo & Conditioner,35
11-01-1981,Face & Body,54
11-02-1981,Flours & Pre-Mixes,28
11-03-1981,Cook And Serve,78
11-04-1981,Gourmet Tea & Tea Bags,100
11-05-1981,Containers Sets,79
11-06-1981,Men's Deodorants,30
11-07-1981,Gourmet Tea & Tea Bags,24
11-08-1981,Choppers & Graters,44
11-09-1981,Blended Masalas,18
11-10-1981,Pork & Ham,18
11-11-1981,Toothpaste,27
11-12-1981,Nursing Tools,81
11-13-1981,Containers Sets,38
11-14-1981,Chicken Sausages,57
11-15-1981,Face Care,48
11-16-1981,Face Care,32
11-17-1981,Cold Drinks,54
11-18-1981,Coffee & Pre-Mix,46
11-19-1981,Dustbins,113
11-20-1981,Shampoo & Conditioner,24
11-21-1981,Glassware,21
11-22-1981,Dinner Sets,37
11-23-1981,Ayurveda,14
11-24-1981,Water & Fridge Bottles,15
11-25-1981,Detergent Bars,23
11-26-1981,Tea Bags,42
11-27-1981,Oats & Porridge,49
11-28-1981,"Cookies, Biscotti, Wafer",9
11-29-1981,Oats & Porridge,21
11-30-1981,Exotic Vegetables,29
12-01-1981,"Olive, Jalapeno, Gherkin",23
12-02-1981,Breakfast & Snack Mixes,28
12-03-1981,Roasted Seeds & Nuts,42
12-04-1981,Face Care,15
12-05-1981,Muffins & Cup Cakes,31
12-06-1981,Oats & Porridge,24
12-07-1981,Face Care,38
12-08-1981,Face Care,31
12-09-1981,Copper Utensils,20
12-10-1981,Eau De Toilette,18
12-11-1981,Shampoo & Conditioner,14
12-12-1981,Toothpaste,29
12-13-1981,"Pure, Pomace Olive Oil",66
12-14-1981,Glassware,84
12-15-1981,Shampoo & Conditioner,35
12-16-1981,Salad Dressings,32
12-17-1981,Exotic Fruits,30
12-18-1981,"Herbs, Seasonings & Rubs",48
12-19-1981,"Hummus, Cheese, Salsa Dip",21
12-20-1981,Cereal & Granola Bars,15
12-21-1981,Toothpaste,71
12-22-1981,Face Care,11
12-23-1981,Shampoo & Conditioner,40
12-24-1981,Organic Baby Food,29
12-25-1981,Whole Spices,23
12-26-1981,Hair Oil & Serum,48
12-27-1981,Chilli & Soya Sauce,17
12-28-1981,Dry Fruits & Berries,60
12-29-1981,Organic Masalas & Spices,34
12-30-1981,Bowls & Vessels,14
12-31-1981,Pet Meals & Treats,21
01-01-1982,Pork & Ham,31
01-02-1982,Other Veg Pickle,10
01-03-1982,Diapers,65
01-04-1982,Muesli,32
01-05-1982,Frozen Fish & Seafood,50
01-06-1982,Tomatoes & Vegetables,31
01-07-1982,"Flavoured, Soya Milk",29
01-08-1982,Crackers & Digestive,45
01-09-1982,Dry Fruits & Berries,39
01-10-1982,Kids Cereal,34
01-11-1982,Cereal & Granola Bars,12
01-12-1982,Toilet Cleaners,39
1-13-1982,Cereals & Millets,55
1-14-1982,Juices,10
1-15-1982,International Cheese,25
1-16-1982,Toothpaste,180
1-17-1982,"Cookies, Biscotti, Wafer",173
1-18-1982,Juices,85
1-19-1982,Hand Wash & Sanitizers,33
1-20-1982,"Baking, Cake Decorations",104
1-21-1982,Tea Bags,154
1-22-1982,Roasted Seeds & Nuts,98
1-23-1982,Dust Cloth & Wipes,148
1-24-1982,Ayurveda,82
1-25-1982,Body Care,279
1-26-1982,Salad Dressings,47
1-27-1982,Gourmet Tea & Tea Bags,72
1-28-1982,Thai & Asian Sauces,83
1-29-1982,Tampons & Menstrual Cups,58
1-30-1982,"Flavoured, Soya Milk",41
1-31-1982,Ghee & Vanaspati,68
02-01-1982,Organic Masalas & Spices,9
02-02-1982,Granola & Cereal Bars,10
02-03-1982,Steel Storage Containers,35
02-04-1982,"Flavoured, Soya Milk",13
02-05-1982,Balsamic & Cider Vinegar,18
02-06-1982,Men's Deodorants,26
02-07-1982,Pressure Cookers,33
02-08-1982,Body Care,9
02-09-1982,Granola & Cereal Bars,15
02-10-1982,Nachos & Chips,14
02-11-1982,Dry Fruits & Berries,90
02-12-1982,Shaving Care,135
2-13-1982,Hand Wash & Sanitizers,89
2-14-1982,"Cups, Mugs & Tumblers",68
2-15-1982,Other Pooja Needs,43
2-16-1982,Hair Removal,51
2-17-1982,Lip Care,46
2-18-1982,Casserole,110
2-19-1982,Face Care,58
2-20-1982,Floor & Other Cleaners,32
2-21-1982,Vacuum Flask,56
2-22-1982,Organic Vegetables,57
2-23-1982,Men's Deodorants,42
2-24-1982,Body Care,19
2-25-1982,Organic Masalas & Spices,57
2-26-1982,Kitchen Tools & Other Accessories,4
2-27-1982,Chocolates,105
2-28-1982,Shampoo & Conditioner,108
03-01-1982,Water & Fridge Bottles,49
03-02-1982,Men's Deodorants,37
03-03-1982,Body Care,20
03-04-1982,Disinfectant Spray & Cleaners,134
03-05-1982,Basmati Rice,66
03-06-1982,"Flavoured, Soya Milk",45
03-07-1982,Choco & Nut Spread,164
03-08-1982,Powdered Spices,35
03-09-1982,Men's Deodorants,18
03-10-1982,Steel Storage Containers,46
03-11-1982,"Beans, Brinjals & Okra",73
03-12-1982,Health Drinks,38
3-13-1982,"Caps, Balloons & Candles",16
3-14-1982,"Pen, Pencils",63
3-15-1982,Face Care,5
3-16-1982,Toilet Cleaners,22
3-17-1982,Plates & Bowls,21
3-18-1982,Containers Sets,42
3-19-1982,Organic & Cold Press Oil,7
3-20-1982,Juices,43
3-21-1982,Hand Wash & Sanitizers,60
3-22-1982,Namkeen & Savoury Snacks,25
3-23-1982,Containers Sets,59
3-24-1982,Hair Color,21
3-25-1982,Flours & Pre-Mixes,20
3-26-1982,Toothpaste,39
3-27-1982,Floor & Other Cleaners,77
3-28-1982,Hair Oil & Serum,75
3-29-1982,Face Masks & Safety Gears,22
3-30-1982,Ayurveda,10
3-31-1982,Basmati Rice,133
04-01-1982,Root Vegetables,58
04-02-1982,Organic Masalas & Spices,89
04-03-1982,"Healthy, Baked Snacks",63
04-04-1982,Glassware,60
04-05-1982,"Organic Rice, Other Rice",52
04-06-1982,Face Care,51
04-07-1982,Water & Fridge Bottles,43
04-08-1982,Eau De Parfum,34
04-09-1982,Pet Meals & Treats,22
04-10-1982,"Baking, Cake Decorations",61
04-11-1982,Dessert Mixes,18
04-12-1982,Toilet & Other Brushes,22
4-13-1982,Organic Flours,32
4-14-1982,Shower Gel & Body Wash,42
4-15-1982,Health Drinks,36
4-16-1982,"Curry Paste, Coconut Milk",33
4-17-1982,Talc,43
4-18-1982,CFL & Led Bulbs,24
4-19-1982,Breakfast & Snack Mixes,24
4-20-1982,"Toffee, Candy & Lollypop",14
4-21-1982,Blended Masalas,4
4-22-1982,Hair Oil & Serum,119
4-23-1982,Shampoo & Conditioner,158
4-24-1982,"Bath Stool, Basin & Sets",237
4-25-1982,Cream Biscuits & Wafers,231
4-26-1982,Bathing Accessories,29
4-27-1982,"Pure, Pomace Olive Oil",72
4-28-1982,Thai & Asian Sauces,44
4-29-1982,Dust Cloth & Wipes,138
4-30-1982,Colours & Crayons,78
05-01-1982,Face Care,69
05-02-1982,Organic Masalas & Spices,51
05-03-1982,Mosquito Repellent,174
05-04-1982,"Jams, Marmalade, Spreads",19
05-05-1982,Body Care,5
05-06-1982,Supplements & Proteins,37
05-07-1982,"Sunflower, Rice Bran Oil",68
05-08-1982,Face Masks & Safety Gears,33
05-09-1982,Powdered Spices,61
05-10-1982,Salad Dressings,70
05-11-1982,Ayurveda,12
05-12-1982,Sexual Wellness,79
5-13-1982,Farm Eggs,58
5-14-1982,Face Care,20
5-15-1982,Dry Fruits & Berries,15
5-16-1982,Diapers,26
5-17-1982,Kids (5+Yrs),29
5-18-1982,Cream Biscuits & Wafers,40
5-19-1982,"Cookies, Biscotti, Wafer",65
5-20-1982,Bathing Bars & Soaps,19
5-21-1982,Shampoo & Conditioner,65
5-22-1982,Milk & Soya Drinks,23
5-23-1982,Ayurveda,59
5-24-1982,Kitchen Tools & Other Accessories,19
5-25-1982,Dry Fruits & Berries,21
5-26-1982,"Utensil Scrub-Pad, Glove",42
5-27-1982,Diapers,58
5-28-1982,Organic Vegetables,22
5-29-1982,Face Care,35
5-30-1982,Bathing Bars & Soaps,23
5-31-1982,Blended Masalas,73
06-01-1982,Toothpaste,108
06-02-1982,"Paneer, Tofu & Cream",18
06-03-1982,Roasted Seeds & Nuts,21
06-04-1982,Roasted Seeds & Nuts,27
06-05-1982,Hand Wash & Sanitizers,29
06-06-1982,"Jams, Marmalade, Spreads",49
06-07-1982,Powdered Spices,59
06-08-1982,Honey & Maple Syrup,58
06-09-1982,Ayurveda,58
06-10-1982,Supplements & Proteins,37
06-11-1982,Blended Masalas,23
06-12-1982,"Laundry, Storage Baskets",18
6-13-1982,Milk & Soya Drinks,20
6-14-1982,Exam Pads & Pencil Box,23
6-15-1982,Salted Biscuits,43
6-16-1982,Body Care,108
6-17-1982,"Healthy, Baked Snacks",34
6-18-1982,Hair Care & Styling,33
6-19-1982,"Luxury Chocolates, Gifts",7
6-20-1982,Chikki & Gajjak,39
6-21-1982,Chilli & Soya Sauce,69
6-22-1982,Pastas & Spaghetti,34
6-23-1982,"Marshmallow, Candy, Jelly",54
6-24-1982,Baking Tools & Brushes,36
6-25-1982,Baby Powder,46
6-26-1982,Body Care,19
6-27-1982,Glassware,56
6-28-1982,Blended Masalas,26
6-29-1982,Bathing Bars & Soaps,29
6-30-1982,Other Plastic Ware,21
07-01-1982,Floor & Other Cleaners,13
07-02-1982,"Healthy, Baked Snacks",8
07-03-1982,"Cookies, Biscotti, Wafer",13
07-04-1982,Colours & Crayons,83
07-05-1982,Tawa & Sauce Pan,120
07-06-1982,Granola & Cereal Bars,10
07-07-1982,"Luxury Chocolates, Gifts",26
07-08-1982,Eau De Toilette,34
07-09-1982,Face Care,84
07-10-1982,"Pen, Pencils",9
07-11-1982,Ayurveda,7
07-12-1982,Glassware,20
7-13-1982,"Olive, Jalapeno, Gherkin",67
7-14-1982,Shaving Care,14
7-15-1982,Breakfast & Snack Mixes,30
7-16-1982,Organic Vegetables,29
7-17-1982,Green Tea,19
7-18-1982,Bathing Bars & Soaps,33
7-19-1982,Frozen Fish & Seafood,73
7-20-1982,Men's Deodorants,22
7-21-1982,Ayurveda,15
7-22-1982,"Cutlery, Spoon & Fork",13
7-23-1982,"Healthy, Baked Snacks",89
7-24-1982,Chilli & Soya Sauce,67
7-25-1982,Body Sprays & Mists,51
7-26-1982,Toilet & Other Brushes,25
7-27-1982,Toilet Paper,30
7-28-1982,Flavoured & Other Oils,85
7-29-1982,Exotic & Flavoured Tea,70
7-30-1982,"Mops, Wipers",19
7-31-1982,"Notebooks, Files, Folders",28
08-01-1982,Mouthwash,98
08-02-1982,Leaf & Dust Tea,26
08-03-1982,Cocktail Mixes,36
08-04-1982,Intimate Wash & Care,70
08-05-1982,"Pure, Pomace Olive Oil",66
08-06-1982,Hair & Scalp Treatment,21
08-07-1982,"Baking, Cake Decorations",28
08-08-1982,"Pure, Pomace Olive Oil",78
08-09-1982,Pet Meals & Treats,32
08-10-1982,Blended Masalas,44
08-11-1982,International Cheese,42
08-12-1982,Baby Oil & Shampoo,35
8-13-1982,"Flavoured, Soya Milk",27
8-14-1982,Face Care,12
8-15-1982,Lunch Boxes,39
8-16-1982,Yogurt & Shrikhand,43
8-17-1982,"Curry Paste, Coconut Milk",21
8-18-1982,International Chocolates,47
8-19-1982,"Organic Sugar, Jaggery",50
8-20-1982,Heat & Eat Ready Meals,80
8-21-1982,"Luxury Chocolates, Gifts",73
8-22-1982,Roasted Seeds & Nuts,48
8-23-1982,"Paneer, Tofu & Cream",95
8-24-1982,"Laundry, Storage Baskets",25
8-25-1982,Eau De Parfum,89
8-26-1982,Ayurveda,49
8-27-1982,Fresh Sweets,29
8-28-1982,Shaving Care,40
8-29-1982,Tomato Ketchup & Sauces,3
8-30-1982,Containers Sets,25
8-31-1982,Disinfectant Spray & Cleaners,18
09-01-1982,Air Freshener,91
09-02-1982,Chikki & Gajjak,2
09-03-1982,Chicken Sausages,33
09-04-1982,Face Care,30
09-05-1982,Face Care,9
09-06-1982,"Cookies, Biscotti, Wafer",9
09-07-1982,"Healthy, Baked Snacks",27
09-08-1982,Shampoo & Conditioner,33
09-09-1982,Juices,52
09-10-1982,Exotic & Flavoured Tea,48
09-11-1982,Containers Sets,8
09-12-1982,"Hangers, Clips & Rope",3
9-13-1982,Bath & Shower,40
9-14-1982,Face & Body,20
9-15-1982,Gourmet Tea & Tea Bags,42
9-16-1982,"Bakery Biscuits, Cookies",35
9-17-1982,"Bakery Biscuits, Cookies",26
9-18-1982,Face Care,35
9-19-1982,Water & Fridge Bottles,26
9-20-1982,"Strainer, Ladle, Spatula",41
9-21-1982,Toothpaste,22
9-22-1982,Baby Food,13
9-23-1982,Shampoo & Conditioner,26
9-24-1982,Supplements & Proteins,45
9-25-1982,Organic Dals & Pulses,16
9-26-1982,"Healthy, Baked Snacks",9
9-27-1982,Nachos & Chips,22
9-28-1982,Chocolates,33
9-29-1982,Imported Noodles,54
9-30-1982,"Baking, Cake Decorations",9
10-01-1982,Herbs & Seasoning,35
10-02-1982,"Aerated, Still, Sparkling",67
10-03-1982,Bathing Bars & Soaps,34
10-04-1982,Men's Deodorants,38
10-05-1982,Ayurveda,11
10-06-1982,Electronic Accessories,27
10-07-1982,"Kitchen, Glass & Drain",34
10-08-1982,Glassware,68
10-09-1982,"Curry Paste, Coconut Milk",32
10-10-1982,Gourmet Tea & Tea Bags,38
10-11-1982,Pet Meals & Treats,27
10-12-1982,Cereal & Granola Bars,34
10-13-1982,Wall Hooks & Hangers,45
10-14-1982,Imported Cleaners,43
10-15-1982,Other Dry Fruits,77
10-16-1982,Cooking Pastes,61
10-17-1982,Instant Noodles,40
10-18-1982,Women's Deodorants,23
10-19-1982,Instant Noodles,39
10-20-1982,Pastas & Spaghetti,7
10-21-1982,Face Care,38
10-22-1982,Containers Sets,7
10-23-1982,Eye Care,30
10-24-1982,Other Veg Pickle,47
10-25-1982,Imported Noodles,26
10-26-1982,"Baking, Cake Decorations",8
10-27-1982,Air Freshener,9
10-28-1982,Honey,13
10-29-1982,"Scissor, Glue & Tape",17
10-30-1982,Quinoa & Grains,28
10-31-1982,Namkeen & Savoury Snacks,62
11-01-1982,Steel Lunch Boxes,15
11-02-1982,Kitchen Tools & Other Accessories,28
11-03-1982,"Tinned, Packed Sweets",25
11-04-1982,Shower Gel & Body Wash,54
11-05-1982,Lighters,93
11-06-1982,Garbage Bags,38
11-07-1982,Pet Meals & Treats,109
11-08-1982,Air Freshener,139
11-09-1982,Toilet Cleaners,14
11-10-1982,Organic Masalas & Spices,31
11-11-1982,Granola & Cereal Bars,59
11-12-1982,Everyday Medicine,8
11-13-1982,Glassware,23
11-14-1982,Lunch Boxes,19
11-15-1982,Soothers & Teethers,76
11-16-1982,Aromatherapy,25
11-17-1982,Baby Food,49
11-18-1982,Fresh Sweets,33
11-19-1982,Muffins & Cup Cakes,14
11-20-1982,Gourmet Tea & Tea Bags,35
11-21-1982,Men's Deodorants,43
11-22-1982,Chicken Sausages,86
11-23-1982,Ayurveda,16
11-24-1982,Health Drinks,16
11-25-1982,Air Freshener,22
11-26-1982,International Cheese,104
11-27-1982,Cut & Peeled Veggies,139
11-28-1982,Powdered Spices,26
11-29-1982,Breakfast & Snack Mixes,76
11-30-1982,Honey,88
12-01-1982,Exam Pads & Pencil Box,112
12-02-1982,Ayurveda,62
12-03-1982,Face Care,75
12-04-1982,Containers Sets,83
12-05-1982,Electronic Accessories,145
12-06-1982,Roasted Seeds & Nuts,48
12-07-1982,Namkeen & Savoury Snacks,59
12-08-1982,Organic Dals & Pulses,50
12-09-1982,Mints & Chewing Gum,64
12-10-1982,Containers Sets,63
12-11-1982,Nachos & Chips,32
12-12-1982,Cocktail Mixes,17
12-13-1982,Lunch Boxes,25
12-14-1982,Namkeen & Savoury Snacks,40
12-15-1982,"Organic Rice, Other Rice",46
12-16-1982,Pet Meals & Treats,9
12-17-1982,Ayurveda,54
12-18-1982,Ground Coffee,36
12-19-1982,Chips & Corn Snacks,38
12-20-1982,"Herbs, Seasonings & Rubs",33
12-21-1982,"Healthy, Baked Snacks",19
12-22-1982,Toothpaste,23
